G,PG,PG-13,R
,,25517500,54000000
,,26761283,68525609
,,169705587,52885587
,,80034302,39511038
,,134141530,28734552
,,89808372,30102717
,,60443237,55461307
,,52528330,16204793
,,84136909,4734235
,,38230435,4193025
,,48237389,2849142
,,36310118,1984743
,,41597830,13922211
,,33687630,2428883
,,31526393,1181197
,,25615792,234760500
,,24944213,130058047
,,21835784,69800000
,,22200000,47000000
,,80014842,61400000
,,23527955,101978840
,,15045676,43022524
,,14983572,40064955
,,13973532,39100956
,,13920741,44886089
,,18860403,37882551
,,11538204,40983001
,,11008432,33386128
,,11100000,37877959
,,13651662,32721635
,,10719367,30259652
,,10114315,35054909
,,49122319,29106737
,,10070000,28014536
,,5654777,26421314
,,4006906,24881000
,,777423,26384919
,,28772222,22189039
,,65182182,20801344
,,20218,21468807
,,16964743,20566327
,,12372410,21383298
,,9639242,24984868
,,6144806,15700000
,,161487252,15100000
,,86930411,14938570
,,27338033,14249005
,,18653615,12801190
,,12189514,12549485
,,13019253,11632420
,,20763013,12212417
,,12782508,15608545
,,16123851,17439163
,,71975611,9396487
,,217631306,9059588
,,70960517,9172810
,,55762229,8586376
,,50728000,7556708
,,40270895,4235837
,,59696176,4002955
,,30659817,3247816
,,5773519,1953732
,,19351569,1294640
,,35799026,529766
,,17951431,73548
,,10696210,28870
,,5974653,20380
,,20668843,66009973
,,22294341,101157447
,,40219708,156645693
,,24848292,178406268
,,16284360,70001698
,,6830957,51527787
,,15593,38048637
,,958319,34700000
,,20259297,27515786
,,132541238,25482931
,,121697350,19900000
,,80050171,15483540
,,81257845,15062898
,,70360285,15171475
,,12831121,12550242
,,69148997,12610731
,,56398162,11204499
,,60072596,5459824
,,56362352,5108820
,,65623128,4741987
,,48546578,183088
,,46363118,46495
,,47852604,83025853
,,39737645,12282677
,,39263506,687081
,,39143839,123922370
,,37442180,106952327
,,36658108,57300000
,,33422556,49369900
,,32014289,44726644
,,36874745,48637684
,,29062561,23947
,,23078294,27052167
,,23292105,28501605
,,28876924,25592632
,,23393765,22858926
,,17803796,22235901
,,17518220,13753931
,,15797907,8026971
,,15712072,7881335
,,191449475,5871603
,,15408822,16574731
,,15464026,25675765
,,14174654,3074838
,,15988876,2104000
,,12181484,28501651
,,13214030,1200000
,,12232937,1150403
,,10555348,301305
,,8855646,51872378
,,8104069,12281500
,,8054280,10725228
,,8888355,214966
,,7001720,11956207
,,4234040,1508689
,,3749061,1227324
,,3519627,4360548
,,1183354,26589953
,,263365,204565000
,,184208848,101736215
,,51697449,65500000
,,27758465,70011073
,,56127162,39647595
,,21483154,38087366
,,18439082,54724272
,,119938730,31597131
,,95001351,31691811
,,75072454,31155435
,,13998282,25776062
,,6061759,22905674
,,64955956,25277561
,,53868030,21133087
,,59573085,18761993
,,43818159,17613460
,,86049418,21088568
,,43601508,16300302
,,41382841,27829874
,,33404871,13960203
,,30222640,12902790
,,26906039,12796277
,,22927390,10198766
,,4250320,7918283
,,17174870,8134217
,,26284475,5032496
,,10494494,6754898
,,15155772,4903000
,,13362308,3148482
,,90485233,3950294
,,58006147,1779284
,,96471845,447750
,,30324946,333976
,,27854896,303439
,,22734486,175370
,,24708699,14616
,,21160089,57469179
,,64998368,35537564
,,19693891,93571803
,,12693621,72755517
,,15655665,52929168
,,8662318,49797148
,,7156725,46563158
,,39825798,38201895
,,4930798,21370057
,,59847242,13592872
,,39825798,13558739
,,11702090,13103828
,,127175354,10214647
,,42638165,11501093
,,45507053,2832826
,,6462576,13214255
,,37300107,16017403
,,27087695,540085
,,26896744,56729973
,,20627372,125169
,,16346122,1066555
,,15427192,138339411
,,13998282,80150343
,,19057024,85300000
,,14108518,47536959
,,13854000,63270259
,,77324422,52293982
,,11540112,32983713
,,4839383,30651422
,,1686429,30306281
,,2964,30050028
,,13571817,29392418
,,317040,27736779
,,94175854,20384136
,,55184721,18272447
,,47860214,17096053
,,42919096,16153600
,,42592530,15417771
,,20991497,15156200
,,35007180,20339754
,,34308901,15102127
,,33771174,12570442
,,31585300,12514138
,,163192114,43771291
,,30226144,10824921
,,27441122,9801782
,,33860010,8460995
,,18843314,8828771
,,13766014,6619173
,,13034417,6857503
,,11614236,6712241
,,13337299,6842058
,,10443316,6044618
,,10494147,7764027
,,8735529,5348317
,,9123834,4244155
,,6409206,3193102
,,6373693,3060858
,,5306447,2331318
,,5217498,2185266
,,3525161,7574066
,,1954202,1631839
,,46338728,1939441
,,49122319,1987762
,,61356221,1474508
,,35010192,900926
,,30628981,578527
,,15549702,3093491
,,20246959,228524
,,13640000,221210
,,10397365,131617
,,9402410,15447
,,3100650,100503
,,190871240,70527
,,56631572,16025394
,,15854988,2483955
,,58607007,57176582
,,91038276,30859000
,,46729374,3571735
,,44134898,36049108
,,38176108,34074895
,,28972187,33244684
,,27979400,71519230
,,54257433,18225165
,,49121934,17804273
,,52543632,16938179
,,16929123,90400000
,,5002310,16235293
,,3169424,6610326
,,18004225,6047856
,,17738570,4681503
,,1712111,1530535
,,21078145,4881867
,,14060950,14373825
,,5949693,32222567
,,79817937,39462438
,,91547205,29200000
,,75074950,14879556
,,72217000,1997807
,,65269010,140244
,,63071133,107930000
,,64572496,32279955
,,37188667,4992159
,,31397498,59889948
,,31179516,52287414
,,124868837,34746109
,,31990064,34963967
,,17321573,26049082
,,22406362,18090181
,,22331028,17278980
,,6982680,50815288
,,5542025,15047419
,,1506998,14015786
,,793352,10269307
,,111722000,8880705
,,50461335,5018450
,,37766350,3442820
,,23978402,2275557
,,13903262,16168741
,,9170214,568695
,,2807854,398420
,,352786,336456
,,22160085,108662
,,11043445,53481
,,68353550,43490057
,,63319509,24792061
,,63231524,17544812
,,110175871,10281585
